                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.7845,                 1.3775,                 1.7113,                0.62216,                0.64789,                0.64356,                0.28718,                 1.9843,                 1.4284,                 2.0954,              0.0011024,              0.0011024,              0.0011024
                     71,                 1.7774,                 1.5151,                 1.8398,                0.62216,                0.64789,                0.64356,                0.28718,                 1.9843,                 1.4284,                 2.0954,              0.0010892,              0.0010892,              0.0010892
                     72,                 1.5885,                 1.2742,                 1.6132,                0.58364,                0.69102,                0.62909,                0.24947,                 2.1047,                 1.4477,                 2.1976,               0.001076,               0.001076,               0.001076
                     73,                 1.7571,                 1.4252,                 1.7656,                0.58364,                0.69102,                0.62909,                0.24947,                 2.1047,                 1.4477,                 2.1976,              0.0010628,              0.0010628,              0.0010628
                     74,                 1.7586,                 1.3296,                 1.6341,                0.75409,                0.42254,                0.51101,                0.20226,                 2.4772,                 1.8894,                 2.5859,              0.0010496,              0.0010496,              0.0010496
                     75,                 1.6065,                 1.2224,                 1.5991,                0.75409,                0.42254,                0.51101,                0.20226,                 2.4772,                 1.8894,                 2.5859,              0.0010364,              0.0010364,              0.0010364
                     76,                 1.6952,                 1.3222,                 1.7605,                0.75409,                0.42254,                0.51101,                0.20226,                 2.4772,                 1.8894,                 2.5859,              0.0010232,              0.0010232,              0.0010232
                     77,                 1.6106,                 1.2224,                 1.6346,                0.77154,                0.19718,                0.23682,                0.11015,                 2.8501,                 3.7986,                 3.4075,                0.00101,                0.00101,                0.00101
                     78,                 1.7627,                 1.3882,                 1.9194,                0.77154,                0.19718,                0.23682,                0.11015,                 2.8501,                 3.7986,                 3.4075,              0.0009968,              0.0009968,              0.0009968
                     79,                 1.6177,                 1.1721,                 1.5767,                0.36944,                0.19718,                0.17303,                0.07272,                 2.8773,                 4.1285,                  3.493,              0.0009836,              0.0009836,              0.0009836
                     80,                 1.6026,                 1.2425,                 1.6149,                0.36944,                0.19718,                0.17303,                0.07272,                 2.8773,                 4.1285,                  3.493,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.6191,                 1.1642,                 1.6182,                0.59296,                0.21127,                0.21202,                0.10037,                 2.7483,                 3.6288,                 3.4599,              0.0009572,              0.0009572,              0.0009572
                     82,                 1.5611,                 1.1002,                 1.5388,                0.59296,                0.21127,                0.21202,                0.10037,                 2.7483,                 3.6288,                 3.4599,               0.000944,               0.000944,               0.000944
                     83,                 1.5783,                 1.2633,                 1.7859,                0.59296,                0.21127,                0.21202,                0.10037,                 2.7483,                 3.6288,                 3.4599,              0.0009308,              0.0009308,              0.0009308
                     84,                 1.6287,                 1.2062,                 1.6592,                0.71095,                0.58896,                0.66661,                0.36669,                 2.0876,                  1.722,                  2.343,              0.0009176,              0.0009176,              0.0009176
                     85,                 1.6614,                 1.2315,                 1.6955,                0.71095,                0.58896,                0.66661,                0.36669,                 2.0876,                  1.722,                  2.343,              0.0009044,              0.0009044,              0.0009044
                     86,                 1.5923,                 1.1093,                 1.5827,                0.81854,                0.69014,                0.81923,                0.41201,                 1.7259,                 1.3432,                 2.0026,              0.0008912,              0.0008912,              0.0008912
                     87,                 1.5791,                 1.2207,                   1.71,                0.81854,                0.69014,                0.81923,                0.41201,                 1.7259,                 1.3432,                 2.0026,               0.000878,               0.000878,               0.000878
                     88,                 1.4769,                 1.1374,                 1.5832,                0.85048,                0.70423,                0.84254,                0.43322,                 1.6548,                 1.2947,                 1.9164,              0.0008648,              0.0008648,              0.0008648
                     89,                 1.5428,                 1.2322,                 1.5565,                0.85048,                0.70423,                0.84254,                0.43322,                 1.6548,                 1.2947,                 1.9164,              0.0008516,              0.0008516,              0.0008516
                     90,                 1.4351,                 1.2364,                 1.6435,                0.77263,                0.76583,                0.82637,                0.46093,                 1.5693,                 1.2343,                 1.8525,              0.0008384,              0.0008384,              0.0008384
                     91,                 1.4897,                 1.0794,                 1.5466,                0.77263,                0.76583,                0.82637,                0.46093,                 1.5693,                 1.2343,                 1.8525,              0.0008252,              0.0008252,              0.0008252
                     92,                 1.4826,                 1.0713,                 1.4843,                0.77263,                0.76583,                0.82637,                0.46093,                 1.5693,                 1.2343,                 1.8525,               0.000812,               0.000812,               0.000812
                     93,                 1.5036,                 1.1576,                 1.5868,                0.88342,                0.74712,                0.85182,                0.47499,                 1.6696,                 1.2664,                  1.917,              0.0007988,              0.0007988,              0.0007988
                     94,                 1.5124,                 1.1811,                 1.5161,                0.88342,                0.74712,                0.85182,                0.47499,                 1.6696,                 1.2664,                  1.917,              0.0007856,              0.0007856,              0.0007856
                     95,                  1.502,                 1.1152,                 1.5577,                0.79751,                0.77663,                0.84993,                0.43981,                  1.716,                 1.3617,                 1.9192,              0.0007724,              0.0007724,              0.0007724
                     96,                 1.5264,                 1.1263,                 1.4854,                0.79751,                0.77663,                0.84993,                0.43981,                  1.716,                 1.3617,                 1.9192,              0.0007592,              0.0007592,              0.0007592
                     97,                 1.5078,                 1.2308,                 1.6996,                0.79721,                0.77515,                  0.837,                0.41931,                 1.7942,                 1.4021,                 1.9689,               0.000746,               0.000746,               0.000746
                     98,                 1.4781,                 1.0693,                 1.6085,                0.79721,                0.77515,                  0.837,                0.41931,                 1.7942,                 1.4021,                 1.9689,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.5884,                 1.2202,                 1.6159,                0.79721,                0.77515,                  0.837,                0.41931,                 1.7942,                 1.4021,                 1.9689,              0.0007196,              0.0007196,              0.0007196
                    100,                 1.4998,                  1.081,                 1.5296,                0.92764,                0.70423,                0.85994,                0.39471,                 1.8834,                 1.4017,                 2.0196,              0.0007064,              0.0007064,              0.0007064
                    101,                 1.6388,                  1.216,                 1.6763,                0.92764,                0.70423,                0.85994,                0.39471,                 1.8834,                 1.4017,                 2.0196,              0.0006932,              0.0006932,              0.0006932
                    102,                 1.5171,                 1.1413,                 1.7192,                0.94214,                0.68803,                0.84352,                0.42072,                  1.807,                 1.3735,                 1.9678,                0.00068,                0.00068,                0.00068
                    103,                 1.4791,                 1.1076,                 1.5765,                0.94214,                0.68803,                0.84352,                0.42072,                  1.807,                 1.3735,                 1.9678,              0.0006668,              0.0006668,              0.0006668
                    104,                 1.5299,                 1.1116,                 1.5123,                0.83933,                0.74648,                0.82962,                0.43014,                 1.7294,                 1.3013,                 1.9118,              0.0006536,              0.0006536,              0.0006536
                    105,                 1.4701,                 1.0931,                  1.524,                0.83933,                0.74648,                0.82962,                0.43014,                 1.7294,                 1.3013,                 1.9118,              0.0006404,              0.0006404,              0.0006404
