                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.1264,                 1.1055,                 1.1876,                0.71181,                0.81361,                0.86465,                0.60199,                 1.0069,                0.93045,                 1.1734,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.1344,                 1.0947,                  1.202,                0.75654,                0.79412,                0.86064,                0.58763,                 1.0399,                0.94084,                 1.1795,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.1376,                  1.033,                 1.1726,                0.72567,                0.78235,                0.85819,                0.59015,                 1.0568,                0.95083,                  1.188,              0.0011684,              0.0011684,              0.0011684
                     66,                 1.0911,                 1.0218,                 1.1904,                0.72567,                0.78235,                0.85819,                0.59015,                 1.0568,                0.95083,                  1.188,              0.0011552,              0.0011552,              0.0011552
                     67,                  1.109,                  1.044,                 1.1783,                0.77274,                0.77647,                0.86035,                0.60329,                 1.0356,                0.94827,                 1.1758,               0.001142,               0.001142,               0.001142
                     68,                 1.1496,                 1.0608,                  1.187,                0.77274,                0.77647,                0.86035,                0.60329,                 1.0356,                0.94827,                 1.1758,              0.0011288,              0.0011288,              0.0011288
                     69,                 1.0754,                 1.0267,                 1.1471,                0.77046,                0.82353,                0.85635,                0.60193,                 1.0238,                0.94267,                 1.1681,              0.0011156,              0.0011156,              0.0011156
                     70,                 1.1324,                 1.0464,                 1.1707,                0.77046,                0.82353,                0.85635,                0.60193,                 1.0238,                0.94267,                 1.1681,              0.0011024,              0.0011024,              0.0011024
                     71,                 1.1319,                 1.0452,                 1.1784,                0.73723,                0.82941,                0.86465,                0.60967,                 1.0198,                0.93123,                 1.1709,              0.0010892,              0.0010892,              0.0010892
                     72,                 1.1405,                 1.0185,                 1.1577,                0.75749,                0.82941,                0.87795,                0.62333,                 1.0042,                0.90975,                 1.1666,               0.001076,               0.001076,               0.001076
                     73,                   1.12,                0.97011,                 1.1552,                0.75749,                0.82941,                0.87795,                0.62333,                 1.0042,                0.90975,                 1.1666,              0.0010628,              0.0010628,              0.0010628
                     74,                 1.0604,                0.95433,                 1.1443,                0.78176,                0.81765,                0.89722,                0.64812,                0.97775,                 0.8963,                 1.1614,              0.0010496,              0.0010496,              0.0010496
                     75,                 1.0142,                0.98535,                 1.1675,                0.78176,                0.81765,                0.89722,                0.64812,                0.97775,                 0.8963,                 1.1614,              0.0010364,              0.0010364,              0.0010364
                     76,                 1.0134,                0.99967,                 1.1582,                0.80797,                0.81678,                0.89848,                0.65219,                0.96963,                 0.8854,                 1.1574,              0.0010232,              0.0010232,              0.0010232
                     77,                 1.0814,                0.99162,                 1.1492,                0.80797,                0.81678,                0.89848,                0.65219,                0.96963,                 0.8854,                 1.1574,                0.00101,                0.00101,                0.00101
                     78,                 1.0721,                0.96288,                 1.1626,                0.80563,                0.84118,                 0.8968,                  0.653,                0.96222,                0.87267,                 1.1525,              0.0009968,              0.0009968,              0.0009968
                     79,                 1.0127,                0.95681,                 1.1417,                0.80563,                0.84118,                 0.8968,                  0.653,                0.96222,                0.87267,                 1.1525,              0.0009836,              0.0009836,              0.0009836
                     80,                 1.0705,                0.95187,                 1.1492,                0.80064,                0.81765,                0.90183,                0.65653,                 0.9528,                0.86569,                 1.1513,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.0377,                0.97123,                 1.1681,                0.83542,                0.79412,                0.89978,                 0.6601,                0.94832,                0.86097,                 1.1466,              0.0009572,              0.0009572,              0.0009572
                     82,                 1.0323,                0.93263,                  1.149,                0.83542,                0.79412,                0.89978,                 0.6601,                0.94832,                0.86097,                 1.1466,               0.000944,               0.000944,               0.000944
                     83,                 1.0402,                0.94975,                 1.1482,                 0.8652,                    0.8,                0.90464,                0.66481,                0.94837,                0.85698,                 1.1472,              0.0009308,              0.0009308,              0.0009308
                     84,                 1.0336,                0.93538,                 1.1256,                 0.8652,                    0.8,                0.90464,                0.66481,                0.94837,                0.85698,                 1.1472,              0.0009176,              0.0009176,              0.0009176
                     85,                0.97953,                0.95464,                 1.1379,                0.86933,                0.77647,                0.91152,                0.66667,                0.95284,                  0.834,                  1.149,              0.0009044,              0.0009044,              0.0009044
                     86,                 1.0424,                 0.9059,                 1.1221,                0.86933,                0.77647,                0.91152,                0.66667,                0.95284,                  0.834,                  1.149,              0.0008912,              0.0008912,              0.0008912
                     87,                 1.1092,                0.99233,                 1.1903,                 0.8429,                0.81176,                0.91683,                0.66676,                0.96496,                0.81608,                 1.1583,               0.000878,               0.000878,               0.000878
                     88,                 1.0686,                0.90079,                 1.1189,                0.87123,                0.79597,                0.92109,                0.66805,                0.96842,                 0.8098,                 1.1652,              0.0008648,              0.0008648,              0.0008648
                     89,                 1.1041,                 0.9416,                 1.1431,                0.87123,                0.79597,                0.92109,                0.66805,                0.96842,                 0.8098,                 1.1652,              0.0008516,              0.0008516,              0.0008516
                     90,                 1.0277,                0.90736,                 1.1189,                0.82041,                0.83305,                0.92066,                0.67071,                0.95939,                 0.8121,                  1.164,              0.0008384,              0.0008384,              0.0008384
                     91,                 1.0388,                0.96815,                 1.1511,                0.82041,                0.83305,                0.92066,                0.67071,                0.95939,                 0.8121,                  1.164,              0.0008252,              0.0008252,              0.0008252
                     92,                 1.0667,                0.93545,                 1.1283,                0.83347,                0.86471,                0.92402,                0.67242,                0.95777,                0.81476,                 1.1628,               0.000812,               0.000812,               0.000812
                     93,                 1.0789,                 0.9368,                  1.168,                0.83347,                0.86471,                0.92402,                0.67242,                0.95777,                0.81476,                 1.1628,              0.0007988,              0.0007988,              0.0007988
                     94,                 1.0342,                0.92467,                 1.1519,                0.82719,                0.81176,                0.91491,                 0.6673,                0.97426,                  0.828,                 1.1684,              0.0007856,              0.0007856,              0.0007856
                     95,                0.98118,                0.91335,                 1.1102,                0.82719,                0.81176,                0.91491,                 0.6673,                0.97426,                  0.828,                 1.1684,              0.0007724,              0.0007724,              0.0007724
                     96,                 1.0601,                0.96173,                 1.1302,                0.87462,                0.77967,                0.91839,                0.67424,                0.98529,                0.84031,                 1.1695,              0.0007592,              0.0007592,              0.0007592
                     97,                 1.0138,                0.92092,                 1.1548,                0.87933,                0.77647,                0.92281,                0.67183,                0.97851,                 0.8419,                 1.1636,               0.000746,               0.000746,               0.000746
